Employee_ID,Department,Job_Role,Experience_Level,Region,AI_Tool_Used,Daily_AI_Usage_Minutes,Use_Case,Prompt_Complexity,Tasks_Completed_Per_Day,Avg_Task_Time_Before_AI,Avg_Task_Time_After_AI,Productivity_Improvement_%,Revenue_Impact_USD,Cost_Savings_USD,Error_Rate_Reduction_%,Decision_Speed_Improvement_%,Adoption_Level,Satisfaction_Score,Training_Hours,AI_Trust_Level,Date,Month,Quarter
EMP0051,Finance,FP&A Manager,Mid,India,Claude,34.2,Research,Medium,6.2,76.1,62.2,18.27,5989.7,3661.73,15.12,30.6,Medium,7.4,5.0,Medium,2024-07-23,July,Q3
EMP0052,HR,HR Analyst,Junior,UK,Claude,60.4,Data Analysis,High,5.2,60.8,42.4,30.26,2785.39,2906.22,27.93,25.0,Medium,8.1,16.7,High,2024-08-19,August,Q3
EMP0053,IT,Software Engineer,Mid,US,OpenAI API,58.3,Coding,Low,9.5,59.2,43.5,26.52,9619.41,4560.59,31.55,30.24,High,8.5,12.5,High,2024-02-02,February,Q1
EMP0054,Finance,Accountant,Mid,India,ChatGPT,74.7,Content Creation,Low,7.0,60.4,42.3,29.97,8580.35,3923.46,33.73,22.86,High,8.8,11.7,High,2024-10-10,October,Q4
EMP0055,Finance,FP&A Manager,Junior,India,Claude,47.2,Data Analysis,High,5.7,70.0,59.1,15.57,4263.22,3403.43,19.18,30.65,Low,6.2,22.2,Medium,2024-01-04,January,Q1
EMP0056,Operations,Operations Manager,Senior,APAC,OpenAI API,71.3,Content Creation,Medium,5.2,66.0,45.9,30.45,4716.39,2974.57,22.45,17.65,Medium,6.6,1.0,Medium,2024-01-31,January,Q1
EMP0057,Marketing,Content Strategist,Junior,India,ChatGPT,58.7,Content Creation,Medium,6.1,53.0,40.6,23.4,7705.87,2807.78,25.83,44.64,Medium,9.2,15.3,Medium,2024-06-18,June,Q2
EMP0058,Finance,Financial Analyst,Junior,India,Claude,76.0,Data Analysis,Medium,3.4,60.5,47.4,21.65,3362.07,3178.82,25.06,6.62,Low,7.9,22.2,Medium,2024-05-22,May,Q2
EMP0059,Sales,Sales Analyst,Mid,India,ChatGPT,58.5,Research,Low,10.7,66.5,45.4,31.73,9866.2,2347.99,28.15,40.92,High,7.4,12.4,Medium,2024-03-08,March,Q1
EMP0060,HR,Compensation Analyst,Junior,Europe,Gemini,5.0,Research,Medium,6.5,75.9,67.0,11.73,3934.33,3054.35,14.84,35.31,High,5.1,19.9,High,2024-05-04,May,Q2
EMP0061,IT,IT Manager,Mid,UK,ChatGPT,78.3,Coding,High,8.7,70.6,46.1,34.7,9312.47,4708.84,35.23,37.25,High,7.7,14.0,High,2024-02-18,February,Q1
EMP0062,Sales,Sales Manager,Junior,UK,Gemini,98.4,Content Creation,Low,10.3,61.5,39.3,36.1,12538.74,2856.75,45.04,18.35,High,9.4,12.2,High,2024-06-30,June,Q2
EMP0063,HR,L&D Specialist,Mid,US,Claude,46.4,Research,High,7.7,64.4,47.3,26.55,3539.37,3440.58,18.71,19.28,High,7.5,3.9,High,2024-01-28,January,Q1
EMP0064,Finance,Financial Analyst,Senior,Europe,ChatGPT,71.2,Research,Low,8.4,57.3,42.7,25.48,5002.29,3769.58,32.07,28.51,High,7.4,10.5,Medium,2024-06-22,June,Q2
EMP0065,Operations,Operations Manager,Junior,India,ChatGPT,65.1,Data Analysis,Medium,7.2,71.1,48.9,31.22,7241.69,4358.17,32.91,41.88,High,8.2,17.1,High,2024-04-07,April,Q2
EMP0066,Finance,CFO Analyst,Junior,APAC,OpenAI API,88.5,Data Analysis,Medium,4.7,69.5,52.0,25.18,4399.97,2029.08,29.96,13.53,Low,6.4,16.7,Medium,2024-08-04,August,Q3
EMP0067,Marketing,Content Strategist,Mid,India,Claude,81.9,Research,Medium,8.5,72.3,49.8,31.12,8091.98,3095.18,35.58,21.98,High,8.3,13.9,Low,2024-05-07,May,Q2
EMP0068,Sales,Sales Manager,Mid,UK,Copilot,49.2,Research,Medium,6.0,57.9,46.6,19.52,5796.32,1964.92,24.82,26.15,Low,7.2,7.7,Medium,2024-02-20,February,Q1
EMP0069,HR,HR Manager,Senior,India,Gemini,79.4,Data Analysis,High,6.4,58.0,35.9,38.1,5008.81,1655.41,36.79,31.08,Medium,8.6,11.8,High,2024-01-08,January,Q1
EMP0070,HR,HR Manager,Junior,India,ChatGPT,41.9,Content Creation,High,5.4,90.6,68.4,24.5,3141.05,2060.02,22.93,21.32,Medium,6.7,21.0,High,2024-07-27,July,Q3
EMP0071,HR,L&D Specialist,Junior,US,Claude,80.1,Content Creation,Medium,5.9,32.6,23.7,27.3,3994.35,1980.75,29.33,32.07,Medium,6.4,26.0,Medium,2024-07-24,July,Q3
EMP0072,Marketing,Marketing Manager,Mid,APAC,Gemini,94.6,Research,Medium,7.9,64.8,41.5,35.96,11171.55,2893.37,42.65,8.46,High,8.6,10.8,High,2024-01-02,January,Q1
EMP0073,Marketing,Brand Manager,Mid,India,Claude,91.7,Research,Low,9.3,73.3,50.1,31.65,10012.32,2323.13,42.64,22.61,High,6.8,10.9,Low,2024-05-26,May,Q2
EMP0074,Marketing,Brand Manager,Junior,UK,Copilot,78.4,Content Creation,Low,6.2,65.2,45.7,29.91,7699.38,2024.24,23.66,14.37,Low,8.9,17.6,High,2024-04-07,April,Q2
EMP0075,Finance,Accountant,Junior,UK,ChatGPT,63.6,Data Analysis,High,4.3,57.9,40.5,30.05,7199.42,965.78,34.25,28.38,Medium,8.0,19.8,High,2024-10-23,October,Q4
EMP0076,Finance,CFO Analyst,Junior,US,ChatGPT,49.1,Content Creation,Medium,7.6,58.3,43.9,24.7,8187.4,4808.72,25.95,34.17,High,8.3,17.3,Medium,2024-06-09,June,Q2
EMP0077,Sales,Sales Manager,Mid,APAC,ChatGPT,56.9,Research,High,10.1,47.1,30.9,34.39,14172.24,2335.15,27.52,39.51,High,7.4,18.5,Medium,2024-09-01,September,Q3
EMP0078,Operations,Business Analyst,Senior,UK,OpenAI API,59.5,Data Analysis,Medium,6.4,77.6,55.0,29.12,4987.13,3300.46,24.18,25.12,Medium,8.4,10.5,High,2024-01-30,January,Q1
EMP0079,Marketing,Digital Marketer,Mid,US,ChatGPT,69.1,Content Creation,Medium,9.4,39.5,29.1,26.33,6346.3,3907.77,31.2,22.4,Medium,7.7,9.2,High,2024-02-05,February,Q1
EMP0080,Sales,Business Dev Manager,Mid,India,ChatGPT,44.2,Research,Medium,6.2,87.9,64.4,26.73,11960.68,2354.66,21.47,24.5,Medium,8.2,14.3,High,2024-04-30,April,Q2
EMP0081,HR,L&D Specialist,Senior,US,ChatGPT,46.1,Data Analysis,Medium,3.4,76.7,61.8,19.43,1497.38,1970.39,14.71,16.95,Low,5.5,9.6,Medium,2024-05-06,May,Q2
EMP0082,Finance,CFO Analyst,Mid,India,Claude,93.2,Data Analysis,Low,5.8,81.8,56.8,30.56,6039.56,3975.39,33.5,21.57,Medium,7.5,12.3,High,2024-11-13,November,Q4
EMP0083,Finance,Financial Analyst,Junior,UK,OpenAI API,86.7,Content Creation,High,5.1,64.0,43.1,32.66,5060.39,3744.12,28.33,46.66,Medium,8.8,15.8,High,2024-10-25,October,Q4
EMP0084,Sales,Business Dev Manager,Junior,Europe,Gemini,65.1,Content Creation,Low,6.5,69.7,48.9,29.84,7575.75,3068.84,18.99,29.05,Low,6.7,19.1,Medium,2024-05-13,May,Q2
EMP0085,Marketing,Content Strategist,Mid,Europe,Claude,90.4,Content Creation,Medium,6.9,41.8,29.2,30.14,8234.9,1527.57,33.92,31.67,Medium,7.4,11.2,Medium,2024-05-15,May,Q2
EMP0086,Sales,Sales Analyst,Junior,US,ChatGPT,84.0,Research,Medium,10.3,61.2,43.4,29.08,10059.17,1702.85,28.06,34.89,Medium,7.0,20.5,Medium,2024-11-26,November,Q4
EMP0087,IT,DevOps Engineer,Senior,APAC,ChatGPT,66.9,Data Analysis,Medium,6.4,65.9,42.9,34.9,9587.5,3518.16,31.44,30.03,High,8.4,12.9,High,2024-02-07,February,Q1
EMP0088,IT,Software Engineer,Mid,India,ChatGPT,70.7,Research,Medium,3.8,61.0,43.7,28.36,5939.2,4119.75,23.23,25.46,Low,7.1,5.6,Medium,2024-10-15,October,Q4
EMP0089,Operations,Operations Manager,Senior,India,ChatGPT,41.4,Content Creation,High,8.9,61.8,43.5,29.61,7124.38,3281.23,23.05,36.8,High,7.5,7.1,High,2024-04-19,April,Q2
EMP0090,Sales,Business Dev Manager,Senior,India,Copilot,99.6,Customer Support,High,5.6,10.0,6.7,33.0,8109.06,1941.33,28.39,26.02,Low,7.8,4.0,Medium,2024-06-27,June,Q2
EMP0091,Marketing,Marketing Manager,Mid,US,Gemini,90.1,Research,Low,8.4,48.4,31.1,35.74,10453.73,2914.32,35.7,24.14,High,7.8,11.7,High,2024-05-25,May,Q2
EMP0092,IT,Data Scientist,Junior,US,ChatGPT,71.4,Research,Medium,9.2,47.5,32.3,32.0,7145.29,2398.51,34.48,37.32,High,8.0,22.0,Medium,2024-12-26,December,Q4
EMP0093,IT,DevOps Engineer,Junior,US,Copilot,92.0,Research,Low,8.1,61.3,42.9,30.02,10917.03,3631.1,38.64,19.1,High,7.1,17.9,Medium,2024-10-10,October,Q4
EMP0094,Finance,Accountant,Junior,Europe,Claude,24.6,Data Analysis,Medium,5.0,68.4,54.2,20.76,6348.88,3073.08,24.78,20.15,Medium,8.1,13.5,High,2024-03-09,March,Q1
EMP0095,IT,DevOps Engineer,Senior,UK,Copilot,65.0,Coding,Medium,6.7,76.1,49.5,34.95,6816.09,3138.51,20.86,17.23,Medium,8.1,8.4,Medium,2024-10-10,October,Q4
EMP0096,Marketing,Content Strategist,Senior,UK,Claude,64.1,Research,Low,8.9,50.6,34.3,32.21,9329.65,2968.23,35.34,31.01,High,8.6,13.2,High,2024-11-05,November,Q4
EMP0097,Sales,Account Executive,Mid,India,Gemini,91.2,Content Creation,Medium,12.2,44.8,27.2,39.29,11416.14,1668.5,46.72,22.42,High,9.1,11.2,Medium,2024-04-14,April,Q2
EMP0098,Operations,Supply Chain Analyst,Junior,India,OpenAI API,67.6,Research,Medium,4.3,63.6,46.9,26.26,4375.28,2987.9,25.33,28.14,Low,8.3,14.7,High,2024-05-08,May,Q2
EMP0099,Finance,Financial Analyst,Mid,APAC,ChatGPT,58.3,Content Creation,Medium,6.8,55.4,42.3,23.65,7277.92,6651.47,30.48,17.16,High,7.8,14.9,High,2024-08-04,August,Q3
EMP0100,IT,DevOps Engineer,Senior,UK,Copilot,65.3,Coding,Medium,5.4,84.9,67.0,21.08,7750.23,2546.0,17.46,22.31,Low,8.2,6.3,Medium,2024-06-19,June,Q2
EMP0101,Marketing,Content Strategist,Senior,UK,Claude,46.2,Content Creation,Low,6.2,45.2,38.7,14.38,4315.59,1399.49,15.45,31.35,Medium,7.1,9.4,Medium,2024-08-14,August,Q3
EMP0102,IT,Cybersecurity Analyst,Junior,UK,ChatGPT,138.9,Research,Low,7.8,82.3,46.3,43.74,11170.3,3336.61,37.98,26.54,High,10.0,21.8,High,2024-01-05,January,Q1
EMP0103,HR,HR Manager,Junior,Europe,ChatGPT,77.6,Data Analysis,Medium,6.8,59.8,43.7,26.92,4309.48,2315.41,25.3,39.83,Medium,7.0,17.5,Medium,2024-03-17,March,Q1
EMP0104,Sales,Business Dev Manager,Senior,India,ChatGPT,75.9,Content Creation,Medium,7.6,40.0,27.4,31.5,10864.09,1227.36,30.27,23.82,Medium,6.9,3.3,Low,2024-10-25,October,Q4
EMP0105,Finance,CFO Analyst,Mid,APAC,ChatGPT,53.4,Research,High,6.0,46.7,33.9,27.41,7975.51,3100.04,20.94,33.25,Medium,7.9,10.5,High,2024-03-06,March,Q1
EMP0106,Sales,Sales Manager,Junior,Europe,Copilot,77.9,Content Creation,Low,6.1,43.3,34.1,21.25,9474.35,1208.25,30.58,13.77,Low,7.5,17.1,Medium,2024-01-21,January,Q1
EMP0107,HR,HR Analyst,Mid,India,ChatGPT,56.8,Data Analysis,Medium,4.6,68.0,49.8,26.76,1995.82,1735.47,27.38,14.97,Medium,8.2,12.4,Medium,2024-05-07,May,Q2
EMP0108,Finance,Financial Analyst,Mid,US,OpenAI API,61.4,Content Creation,Medium,4.5,49.9,38.9,22.04,2747.58,2678.97,23.23,24.29,Low,7.8,10.2,High,2024-07-27,July,Q3
EMP0109,HR,Compensation Analyst,Mid,UK,Gemini,53.5,Content Creation,Medium,3.5,49.6,34.2,31.05,2473.06,1136.0,19.3,29.75,Low,9.4,7.9,High,2024-05-01,May,Q2
EMP0110,HR,Recruiter,Senior,India,ChatGPT,34.0,Research,Medium,6.9,42.6,32.4,23.94,4533.58,2461.08,19.9,56.79,High,7.1,10.0,Medium,2024-01-13,January,Q1
EMP0111,HR,Recruiter,Mid,Europe,Gemini,78.6,Research,High,3.8,38.0,26.7,29.74,2096.66,2140.51,25.01,28.95,Low,8.2,17.5,High,2024-07-29,July,Q3
EMP0112,Finance,FP&A Manager,Mid,Europe,OpenAI API,75.0,Data Analysis,High,5.0,58.4,40.5,30.65,8663.08,2565.91,28.85,40.8,Medium,8.2,15.0,Medium,2024-12-25,December,Q4
EMP0113,Operations,Operations Manager,Mid,APAC,Claude,78.7,Data Analysis,Medium,9.2,50.7,33.6,33.73,7378.26,4260.64,35.37,28.42,High,8.2,10.9,High,2024-08-28,August,Q3
EMP0114,Finance,FP&A Manager,Senior,Europe,ChatGPT,83.5,Research,Medium,5.9,58.0,36.6,36.9,4812.52,3058.32,34.24,29.37,Medium,8.4,1.0,High,2024-06-28,June,Q2
EMP0115,HR,HR Analyst,Junior,India,ChatGPT,48.6,Content Creation,Medium,3.6,36.8,25.9,29.62,2564.61,2162.18,17.43,34.5,Medium,7.8,22.9,High,2024-01-13,January,Q1
EMP0116,IT,Data Scientist,Junior,India,ChatGPT,91.8,Data Analysis,High,7.1,81.5,48.3,40.74,8587.27,3134.69,34.35,33.41,Medium,7.2,18.5,Medium,2024-05-22,May,Q2
EMP0117,IT,Software Engineer,Mid,US,Claude,94.9,Data Analysis,High,7.3,44.5,31.9,28.31,6172.57,2932.1,35.05,31.02,Medium,7.9,16.4,High,2024-11-24,November,Q4
EMP0118,Marketing,Digital Marketer,Senior,US,Copilot,75.8,Customer Support,High,6.0,50.7,37.4,26.23,6345.05,3023.86,23.32,19.33,Low,8.1,6.5,Medium,2024-10-01,October,Q4
EMP0119,HR,HR Analyst,Mid,US,ChatGPT,26.1,Content Creation,Medium,6.9,60.1,45.8,23.79,3017.08,1915.59,16.81,34.3,Medium,8.1,12.9,Medium,2024-05-13,May,Q2
EMP0120,HR,Recruiter,Senior,UK,Gemini,51.5,Research,High,8.3,67.8,40.0,41.0,4787.86,3186.83,25.54,44.5,High,7.3,5.2,Medium,2024-01-20,January,Q1
EMP0121,Sales,Sales Manager,Mid,UK,Gemini,46.7,Content Creation,Medium,6.9,51.9,45.5,12.33,6848.28,2582.28,16.27,20.31,Low,6.8,12.6,Medium,2024-06-25,June,Q2
EMP0122,Finance,Accountant,Mid,US,OpenAI API,56.0,Content Creation,Low,3.0,44.3,34.6,21.9,5065.47,2841.86,25.28,31.97,Medium,7.1,12.0,Low,2024-09-18,September,Q3
EMP0123,Sales,Sales Manager,Junior,APAC,Copilot,57.5,Research,Medium,5.8,61.2,52.0,15.03,5198.39,817.46,13.57,6.08,Low,6.7,22.3,Medium,2024-04-07,April,Q2
EMP0124,Operations,Supply Chain Analyst,Mid,UK,ChatGPT,74.6,Content Creation,High,6.8,56.7,37.1,34.57,4145.22,3424.68,32.47,28.98,High,7.7,13.4,High,2024-08-11,August,Q3
EMP0125,IT,Software Engineer,Junior,India,OpenAI API,108.2,Data Analysis,High,7.9,79.1,49.4,37.55,8447.01,4021.13,36.68,37.74,High,8.7,21.0,High,2024-08-08,August,Q3
EMP0126,HR,HR Manager,Mid,US,Gemini,103.2,Research,Low,3.9,36.5,25.3,30.68,1965.59,2387.66,23.98,23.29,Low,8.6,17.1,High,2024-11-15,November,Q4
EMP0127,Marketing,SEO Analyst,Senior,US,ChatGPT,81.8,Customer Support,High,10.0,18.2,11.6,36.26,12085.45,3829.19,31.2,33.59,High,6.9,12.7,Medium,2024-06-02,June,Q2
EMP0128,Marketing,Digital Marketer,Junior,APAC,Claude,76.1,Customer Support,Low,8.9,23.0,14.7,36.09,11938.57,4134.74,28.84,21.82,High,8.3,15.1,Medium,2024-07-28,July,Q3
EMP0129,Operations,Supply Chain Analyst,Mid,Europe,Claude,57.2,Content Creation,Low,4.6,53.8,39.6,26.39,4743.89,4478.92,26.54,18.89,Medium,6.7,10.6,Low,2024-05-31,May,Q2
EMP0130,HR,Compensation Analyst,Senior,US,ChatGPT,51.1,Content Creation,High,8.6,36.5,27.7,24.11,5178.43,3615.65,28.52,40.88,High,7.9,1.0,Medium,2024-08-03,August,Q3
EMP0131,Marketing,Brand Manager,Junior,US,Gemini,70.8,Customer Support,High,8.3,51.5,36.8,28.54,5089.52,2946.25,36.53,52.54,High,7.6,13.6,High,2024-10-18,October,Q4
